_id,start_station_id,start_station_name,start_station_latitude,start_station_longitude
ObjectId("5e4e2e36dbd3e62f6ebce415"),116,W 17 St & 8 Ave,40.74177603,-74.00149746
ObjectId("5e4e2e36dbd3e62f6ebce416"),119,Park Ave & St Edwards St,40.69608941,-73.97803415
ObjectId("5e4e2e36dbd3e62f6ebce417"),120,Lexington Ave & Classon Ave,40.68676793,-73.95928168
ObjectId("5e4e2e36dbd3e62f6ebce418"),127,Barrow St & Hudson St,40.73172428,-74.00674436
ObjectId("5e4e2e36dbd3e62f6ebce419"),128,MacDougal St & Prince St,40.72710258,-74.00297088
ObjectId("5e4e2e36dbd3e62f6ebce41a"),143,Clinton St & Joralemon St,40.69239502,-73.99337909
ObjectId("5e4e2e36dbd3e62f6ebce41b"),144,Nassau St & Navy St,40.69839895,-73.98068914
ObjectId("5e4e2e36dbd3e62f6ebce41c"),146,Hudson St & Reade St,40.71625008,-74.0091059
ObjectId("5e4e2e36dbd3e62f6ebce41d"),150,E 2 St & Avenue C,40.7208736,-73.98085795
ObjectId("5e4e2e36dbd3e62f6ebce41e"),151,Cleveland Pl & Spring St,40.72210379,-73.99724901
ObjectId("5e4e2e36dbd3e62f6ebce41f"),157,Henry St & Atlantic Ave,40.69089272,-73.99612349
ObjectId("5e4e2e36dbd3e62f6ebce420"),161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231
ObjectId("5e4e2e36dbd3e62f6ebce421"),164,E 47 St & 2 Ave,40.75323098,-73.97032517
ObjectId("5e4e2e36dbd3e62f6ebce422"),167,E 39 St & 3 Ave,40.7489006,-73.97604882
ObjectId("5e4e2e36dbd3e62f6ebce423"),168,W 18 St & 6 Ave,40.73971301,-73.99456405
ObjectId("5e4e2e36dbd3e62f6ebce424"),173,Broadway & W 49 St,40.76068327,-73.98452729
ObjectId("5e4e2e36dbd3e62f6ebce425"),174,E 25 St & 1 Ave,40.7381765,-73.97738662
ObjectId("5e4e2e36dbd3e62f6ebce426"),195,Liberty St & Broadway,40.70905623,-74.01043382
